"","POSIXct","inds","stat","statArg","variable","value","variableGroup","fileGroup"
"198",2009-10-09 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"199",2009-10-09 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"200",2009-10-09 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"201",2009-10-09 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"202",2009-10-09 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"203",2009-10-09 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"204",2009-10-09 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"205",2009-10-09 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"206",2009-10-09 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"207",2009-10-09 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"208",2009-10-09 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"209",2009-10-09 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"210",2009-10-09 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"211",2009-10-09 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"212",2009-10-09 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"213",2009-10-09 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"214",2009-10-09 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"215",2009-10-09 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"216",2009-10-09 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"217",2009-10-10 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"218",2009-10-10 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"219",2009-10-10 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"220",2009-10-10 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"221",2009-10-10 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"222",2009-10-10 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"223",2009-10-10 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"224",2009-10-10 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"225",2009-10-10 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"226",2009-10-10 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"227",2009-10-10 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"228",2009-10-10 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"229",2009-10-10 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"230",2009-10-10 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"231",2009-10-10 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"232",2009-10-10 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"233",2009-10-10 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"234",2009-10-10 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"235",2009-10-10 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"236",2009-10-10 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"237",2009-10-10 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"238",2009-10-10 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"239",2009-10-10 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"240",2009-10-10 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"241",2009-10-11 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"242",2009-10-11 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"243",2009-10-11 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"244",2009-10-11 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"245",2009-10-11 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"246",2009-10-11 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"247",2009-10-11 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"248",2009-10-11 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"249",2009-10-11 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"250",2009-10-11 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"251",2009-10-11 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"252",2009-10-11 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"253",2009-10-11 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"254",2009-10-11 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"255",2009-10-11 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"256",2009-10-11 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"257",2009-10-11 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"258",2009-10-11 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"259",2009-10-11 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"260",2009-10-11 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"261",2009-10-11 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"262",2009-10-11 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"263",2009-10-11 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"264",2009-10-11 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"265",2009-10-12 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"266",2009-10-12 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"267",2009-10-12 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"268",2009-10-12 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"269",2009-10-12 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"270",2009-10-12 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"271",2009-10-12 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"272",2009-10-12 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"273",2009-10-12 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"274",2009-10-12 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"275",2009-10-12 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"276",2009-10-12 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"277",2009-10-12 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"278",2009-10-12 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"279",2009-10-12 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"280",2009-10-12 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"281",2009-10-12 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"282",2009-10-12 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"283",2009-10-12 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"284",2009-10-12 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"285",2009-10-12 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"286",2009-10-12 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"287",2009-10-12 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"288",2009-10-12 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"289",2009-10-13 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"290",2009-10-13 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"291",2009-10-13 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"292",2009-10-13 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"293",2009-10-13 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"294",2009-10-13 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"295",2009-10-13 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"296",2009-10-13 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"297",2009-10-13 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"298",2009-10-13 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"299",2009-10-13 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"300",2009-10-13 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"301",2009-10-13 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"302",2009-10-13 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"303",2009-10-13 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"304",2009-10-13 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"305",2009-10-13 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"306",2009-10-13 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"307",2009-10-13 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"308",2009-10-13 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"309",2009-10-13 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"310",2009-10-13 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"311",2009-10-13 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"312",2009-10-13 23:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"313",2009-10-14 00:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"314",2009-10-14 01:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"315",2009-10-14 02:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"316",2009-10-14 03:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"317",2009-10-14 04:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"318",2009-10-14 05:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"319",2009-10-14 06:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"320",2009-10-14 07:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"321",2009-10-14 08:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"322",2009-10-14 09:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"323",2009-10-14 10:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"324",2009-10-14 11:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"325",2009-10-14 12:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"326",2009-10-14 13:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"327",2009-10-14 14:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"328",2009-10-14 15:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"329",2009-10-14 16:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"330",2009-10-14 17:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"331",2009-10-14 18:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"332",2009-10-14 19:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"333",2009-10-14 20:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"334",2009-10-14 21:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
"335",2009-10-14 22:00:00,"1:1","-","-","streamflow",0,"Q","hydro"
